Session	Date	Time CST Local Time (UTC/GMT -6 hours )	Room	Paper Type	Session Name 	Pres. Order	Paper ID	Paper Title	Author	Length	Category	Presentation Preference	Is registered?	Type of registration	Underline comments	Session (on CHANGE SHEET)	Changed From	Changed To	Status of Change	Chair	Chair email	Abstract	Old Presentation Mode
Session J	2024-06-19	11:00	Alberto 3 (Cap. 200)	Main Conference	NLP Applications 2	4	863	Parameter-Efficient Instruction Tuning of Large Language Models For Extreme Financial Numeral Labelling	['Subhendu Khatuya', 'Rajdeep Mukherjee', 'Akash Ghosh', 'Manjunath Hegde', 'Koustuv Dasgupta', 'Niloy Ganguly', 'Saptarshi Ghosh', 'Pawan Goyal']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals J3							
Session J	2024-06-19	11:00	Alberto 3 (Cap. 200)	Main Conference	NLP Applications 2	5	1065	To Tell The Truth: Language of Deception and Language Models	['Sanchaita Hazra', 'Bodhisattwa Prasad Majumder']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals J3							
Session J	2024-06-19	11:00	Alberto 4 (Cap. 400)	Main Conference	Interpretability and Analysis of Models for NLP 2	1	297	Do Localization Methods Actually Localize Memorized Data in LLMs? A Tale of Two Benchmarks	['Ting-Yun Chang', 'Jesse Thomason', 'Robin Jia']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals J4				Faeze Brahman	faezeb@allenai.org		
Session J	2024-06-19	11:00	Alberto 4 (Cap. 400)	Main Conference	Interpretability and Analysis of Models for NLP 2	2	299	Comparing Explanation Faithfulness between Multilingual and Monolingual Fine-tuned Language Models	['ZHIXUE ZHAO', 'Nikolaos Aletras']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals J4							
Session J	2024-06-19	11:00	Alberto 4 (Cap. 400)	Main Conference	Interpretability and Analysis of Models for NLP 2	3	365	Long-form evaluation of model editing	['Domenic Rosati', 'Robie Gonzales', 'Jinkun Chen', 'Xuemin Yu', 'Yahya Kayani', 'Frank Rudzicz', 'Hassan Sajjad']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals J4							
Session J	2024-06-19	11:00	Alberto 4 (Cap. 400)	Main Conference	Interpretability and Analysis of Models for NLP 2	4	749	The Impact of Language on Arithmetic Proficiency: A Multilingual Investigation with Cross-Agent Checking Computation	['Chung-Chi Chen', 'Hiroya Takamura', 'Ichiro Kobayashi', 'Yusuke Miyao']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals J4							
Session J	2024-06-19	11:00	Alberto 4 (Cap. 400)	Main Conference	Interpretability and Analysis of Models for NLP 2	5	944	Multilingual Nonce Dependency Treebanks: Understanding how Language Models Represent and Process Syntactic Structure	['David Arps', 'Laura Kallmeyer', 'Younes Samih', 'Hassan Sajjad']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals J4							
Session J	2024-06-19	11:00	Adelita (Cap. 120)	Industry	Industry 4	1	78 IND	DriftWatch: A Tool that Automatically Detects Data Drift and Extracts Representative Examples Affected by Drift	Myeongjun Erik Jang, Antonios Georgiadis, Yiyun Zhao, Fran Silavong	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals J5							
Session J	2024-06-19	11:00	Adelita (Cap. 120)	Industry	Industry 4	2	86 IND	AMA-LSTM: Pioneering Robust and Fair Financial Audio Analysis for Stock Volatility Prediction	Shengkun Wang, Taoran Ji, Jianfeng He, Mariam Almutairi, Dan Wang, Linhan Wang, Min Zhang, Chang-Tien Lu	Long 13/4.5/.5 (18)	Oral 	Virtual	Yes	Virtual 	industry papers are allowed to present in ZOOM	Orals J5							
Session J	2024-06-19	11:00	Adelita (Cap. 120)	Industry	Industry 4	3	97 IND	Large Language Models Encode the Practice of Medicine	Teja Kanchinadam, Gauher Shaheen	Long 13/4.5/.5 (18)	Oral 	TBD		Virtual	industry papers are allowed to present in ZOOM	Orals J5							
Session J	2024-06-19	11:00	Adelita (Cap. 120)	Industry	Industry 4	4	101 IND	EIVEN: Efficient Implicit Attribute Value Extraction using Multimodal LLM Henry Peng Zou, Gavin Heqing Yu, Ziwei Fan, Dan Bu, Han Liu, Peng Dai, Dongmei Jia, Cornelia Caragea 		Long 13/4.5/.5 (18)	Oral 	Virtual	Yes	Virtual	industry papers are allowed to present in ZOOM	Orals I5							
